sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
5,481,1,620,2,0.348,1,620,500,0,0.22799999999999998,0.6072678822698233,FALSE,0.5432657529039258
5,638,2,380,1,0.348,1,500,380,1,0.22799999999999998,0.6111952034471251,FALSE,0.5434847566325732
5,326,2,620,2,0.349,2,500,620,1,0.349,0.6150832514126539,FALSE,0.5436983371607225
5,141,2,700,2,0.351,2,500,700,1,0.351,0.6189324188985273,FALSE,0.5439066593088906
5,386,1,620,1,0.351,1,620,500,1,0.23099999999999998,0.622743094709542,FALSE,0.5441098811663194
5,313,1,660,1,0.352,1,660,500,1,0.19199999999999998,0.6265156637624466,FALSE,0.5443081544677538
5,510,1,620,1,0.355,1,620,500,1,0.235,0.6302505071248221,FALSE,0.5445016249427681
5,241,1,380,2,0.356,2,380,500,1,0.356,0.6339480020535739,FALSE,0.5446904326400867
5,423,1,620,1,0.357,1,620,500,1,0.237,0.6376085220330382,FALSE,0.5448747122290931
5,288,2,660,2,0.358,2,500,660,1,0.358,0.6412324368127078,FALSE,0.5450545932804948
5,111,2,700,2,0.359,2,500,700,1,0.359,0.6448201124445807,FALSE,0.54523020052791
5,110,1,300,2,0.362,2,300,500,1,0.362,0.6483719113201349,FALSE,0.5454016541119707
5,345,1,460,2,0.363,2,460,500,1,0.363,0.6518881922069336,FALSE,0.5455690698083753
5,178,1,420,1,0.364,2,420,500,0,0.364,0.6453693102848642,FALSE,0.5457325592411894
5,549,1,340,2,0.365,2,340,500,1,0.365,0.6489156171820156,FALSE,0.5458922300825683
5,645,1,700,1,0.365,1,700,500,1,0.16499999999999998,0.6524264610101955,FALSE,0.5460481862399655
5,387,1,340,2,0.367,2,340,500,1,0.367,0.6559021964000936,FALSE,0.5462005280317914
5,484,1,700,1,0.367,1,700,500,1,0.16699999999999998,0.6593431744360927,FALSE,0.5463493523524015
5,659,1,540,2,0.367,1,540,500,0,0.327,0.6527497426917318,FALSE,0.5464947528272134
5,65,2,460,2,0.372,1,500,460,0,0.332,0.6462222452648145,FALSE,0.5466368199586811
5,347,1,620,2,0.372,1,620,500,0,0.252,0.6397600228121664,FALSE,0.5467756412637909
5,628,2,620,2,0.372,2,500,620,1,0.372,0.6433624225840447,FALSE,0.5469113014036878
5,636,1,300,2,0.372,2,300,500,1,0.372,0.6469287983582043,FALSE,0.5470438823059899
5,415,1,300,2,0.373,2,300,500,1,0.373,0.6504595103746222,FALSE,0.5471734632802985
5,94,1,660,1,0.376,1,660,500,1,0.216,0.653954915270876,FALSE,0.5473001211273746
5,580,2,660,1,0.376,2,500,660,0,0.376,0.6474153661181673,FALSE,0.5474239302424091
5,609,1,540,1,0.377,1,540,500,1,0.337,0.6509412124569857,FALSE,0.547544962712785
5,586,1,300,2,0.38,2,300,500,1,0.38,0.6544318003324158,FALSE,0.5476632884106925
5,507,1,420,2,0.381,2,420,500,1,0.381,0.6578874823290917,FALSE,0.5477789750809353
5,584,2,620,2,0.383,2,500,620,1,0.383,0.6613086075058008,FALSE,0.5478920884242369
5,624,1,340,2,0.384,2,340,500,1,0.384,0.6646955214307427,FALSE,0.548002692176331
5,247,2,340,1,0.386,1,500,340,1,0.226,0.6680485662164353,FALSE,0.5481108481831042
5,163,1,300,2,0.387,2,300,500,1,0.387,0.6713680805542709,FALSE,0.548216616472032
5,582,1,460,2,0.387,2,460,500,1,0.387,0.6746543997487282,FALSE,0.5483200553201382
5,632,2,700,2,0.387,2,500,700,1,0.387,0.6779078557512409,FALSE,0.5484212213186843
5,599,2,660,2,0.392,2,500,660,1,0.392,0.6811287771937286,FALSE,0.5485201694347881
