sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
6,349,2,520,2,456,2,500,520,1,0.7892622765022422,FALSE,0.5531605857035371
6,438,2,480,1,456,1,500,480,1,0.7913696537372198,FALSE,0.5531606952520702
6,64,2,400,1,457,1,500,400,1,0.7934559571998476,FALSE,0.5531608026203685
6,192,2,420,1,457,1,500,420,1,0.7955213976278491,FALSE,0.5531609078518273
6,363,2,520,2,457,2,500,520,1,0.7975661836515706,FALSE,0.5531610109889779
6,601,2,600,2,457,2,500,600,1,0.7995905218150549,FALSE,0.5531611120735049
6,338,2,540,1,458,2,500,540,0,0.7915946165969043,FALSE,0.5531612111462635
6,550,2,520,2,458,2,500,520,1,0.7936786704309353,FALSE,0.5531613082472949
6,647,2,440,1,458,1,500,440,1,0.795741883726626,FALSE,0.5531614034158439
6,257,2,580,1,459,2,500,580,0,0.7877844648893597,FALSE,0.5531614966903732
6,527,2,500,1,459,3,500,500,0,NA,empty,NA
6,162,2,460,1,460,1,500,460,1,0.7899066202404661,FALSE,0.5531616777074133
6,353,2,480,2,460,1,500,480,0,0.7820075540380614,FALSE,0.5531617655230826
6,398,2,460,1,460,1,500,460,1,0.7841874784976808,FALSE,0.5531618515910792
6,117,2,500,1,461,3,500,500,0,NA,empty,NA
6,441,2,460,1,461,1,500,460,1,0.786345603712704,FALSE,0.5531620186224995
